CPE,cluster_kmeans,cluster_dbscan
PT0002000032936306KX,1,-1
PT0002000032942455NH,1,0
PT0002000032959511HP,1,-1
PT0002000032966446CC,1,0
PT0002000032968749YT,1,1
PT0002000032969229AC,1,0
PT0002000032976997LZ,1,1
PT0002000032990792KD,1,-1
PT0002000032993611ME,1,0
PT0002000033016394FN,1,0
PT0002000033039837ZH,1,0
PT0002000033074862LZ,1,0
PT0002000033085062AW,1,0
PT0002000033094187PL,1,0
PT0002000033171958DG,1,1
PT0002000033186037TF,1,0
PT0002000033254603ZX,1,1
PT0002000053093191SV,1,0
PT0002000065256275YB,1,-1
PT0002000065523872AA,1,0
PT0002000066469574LZ,1,0
PT0002000068856655YV,1,0
PT0002000068856781NM,1,-1
PT0002000068856872QG,1,-1
PT0002000068856906VS,1,0
PT0002000068856952LS,1,0
PT0002000068857099AR,1,0
PT0002000068857897ZV,1,-1
PT0002000068857909SY,1,0
PT0002000068859187RL,1,-1
PT0002000068859325FL,1,-1
PT0002000068859382XF,1,-1
PT0002000068859393XH,1,-1
PT0002000068859597LS,1,-1
PT0002000069698702RB,1,0
PT0002000069803182JW,1,-1
PT0002000071896778MT,1,-1
PT0002000073231742VK,1,0
PT0002000073481266XH,1,0
PT0002000073598156DE,1,-1
PT0002000073717386HC,1,-1
PT0002000075637532JB,1,0
PT0002000077394934QY,1,-1
PT0002000077647404EM,1,-1
PT0002000078207354XC,1,0
PT0002000078233981HJ,1,0
PT0002000078294957RQ,1,0
PT0002000078441876HB,0,-1
PT0002000081344542CP,1,0
PT0002000081997398TD,1,-1
PT0002000082549706RH,1,-1
PT0002000082592498EF,1,0
PT0002000084414998AX,1,0
PT0002000085555547GN,1,-1
PT0002000085641795MX,1,0
PT0002000100113293JT,1,-1
PT0002000100742616GC,1,-1
PT0002000101964938LF,1,1
PT0002000102936404ME,1,0
PT0002000103647515BL,1,0
PT0002000105483259QH,1,0
PT0002000106237165CF,1,-1
PT0002000107046231FW,1,0
PT0002000107172384HT,1,0
PT0002000107332489XW,1,0
PT0002000108315818YN,1,-1
PT0002000109837807PE,1,0
PT0002000109942242HZ,1,0
PT0002000110090564GD,1,0
PT0002000110607652SB,1,0
PT0002000112026362NN,1,0
PT0002000112171317NK,1,-1
PT0002000112989585PH,1,-1
PT0002000114685657JR,1,-1
PT0002000115031201VQ,1,0
PT0002000115673389QK,1,-1
PT0002000115673471CB,1,-1
PT0002000115700602GW,1,0
PT0002000117822355RM,1,0
PT0002000119303492KB,1,1
PT0002000120237616VJ,1,0
PT0002000120320157HF,1,0
PT0002000123648159KR,1,1
PT0002000123801456QA,1,0
PT0002000125379984SH,1,0
PT0002000131605602FL,1,-1
PT0002000133505542CK,1,-1
PT0002000133685986TF,1,-1
PT0002000201936109ME,1,-1
